,Listing Price,Address,Number of Bedrooms,Number of Bathrooms,Area(sq-ft.),Property Type
295,"USD $66,074","Poonamallee, Chennai, Tamil Nadu",2,2,713.00 sq ft,Apartment
296,"USD $131,066","Mogappair, Chennai, Tamil Nadu",2,2,"1,066.00 sq ft",Apartment
297,"USD $203,879","Mogappair, Chennai, Tamil Nadu",3,3,"1,658.00 sq ft",Apartment
298,"USD $158,867","Mogappair, Chennai, Tamil Nadu",2,2,"1,292.00 sq ft",Apartment
299,"USD $126,288","Mogappair, Chennai, Tamil Nadu",2,2,"1,270.00 sq ft",Apartment
300,"USD $149,213","Sector 33 Sohna, Gurgaon, Haryana",2,2,"1,311.00 sq ft",Apartment
301,"USD $93,431","Sector 33 Sohna, Gurgaon, Haryana",2,2,780.00 sq ft,Apartment
302,"USD $136,663","Vanagaram, Chennai, Tamil Nadu",2,2,"1,037.00 sq ft",Apartment
303,"USD $136,268","Vanagaram, Chennai, Tamil Nadu",2,2,"1,034.00 sq ft",Apartment
304,"USD $78,809","Vanagaram, Chennai, Tamil Nadu",1,1,598.00 sq ft,Apartment
305,"USD $77,491","Vanagaram, Chennai, Tamil Nadu",1,1,588.00 sq ft,Apartment
306,"USD $136,795","Vanagaram, Chennai, Tamil Nadu",2,2,"1,038.00 sq ft",Apartment
307,"USD $78,413","Vanagaram, Chennai, Tamil Nadu",1,1,595.00 sq ft,Apartment
308,"USD $184,107","Vanagaram, Chennai, Tamil Nadu",3,2,"1,397.00 sq ft",Apartment
309,"USD $100,369","Miyapur, Hyderabad, Andhra Pradesh",2,2,"1,330.00 sq ft",Apartment
310,"USD $78,282","Vanagaram, Chennai, Tamil Nadu",1,1,594.00 sq ft,Apartment
311,"USD $78,677","Vanagaram, Chennai, Tamil Nadu",1,1,597.00 sq ft,Apartment
312,"USD $78,150","Vanagaram, Chennai, Tamil Nadu",1,1,593.00 sq ft,Apartment
313,"USD $80,127","Vanagaram, Chennai, Tamil Nadu",1,1,608.00 sq ft,Apartment
314,"USD $65,518","Poonamallee, Chennai, Tamil Nadu",2,2,707.00 sq ft,Apartment
315,"USD $125,798","Porur, Chennai, Tamil Nadu",2,2,"1,548.00 sq ft",Apartment
316,"USD $97,762","Shela, Ahmedabad, Gujarat",3,3,"1,700.00 sq ft",Apartment
317,"USD $147,362","Begur, Bangalore, Karnataka",2,2,983.00 sq ft,Apartment
318,"USD $258,782","Whitefield Hope Farm Junction, Bangalore, Karnataka",3,3,"1,730.00 sq ft",Apartment
319,"USD $300,715","Whitefield Hope Farm Junction, Bangalore, Karnataka",4,4,"1,970.00 sq ft",Apartment
320,"USD $253,074","Whitefield Hope Farm Junction, Bangalore, Karnataka",3,3,"1,660.00 sq ft",Apartment
321,"USD $293,526","Whitefield Hope Farm Junction, Bangalore, Karnataka",4,4,"1,895.00 sq ft",Apartment
322,"USD $366,608","Whitefield Hope Farm Junction, Bangalore, Karnataka",4,4,"2,385.00 sq ft",Apartment
323,"USD $257,584","Whitefield Hope Farm Junction, Bangalore, Karnataka",3,3,"1,720.00 sq ft",Apartment
324,"USD $279,562","Thanisandra, Bangalore, Karnataka",3,3,"2,003.00 sq ft",Apartment
325,"USD $271,873","Thanisandra, Bangalore, Karnataka",3,3,"1,948.00 sq ft",Apartment
326,"USD $323,469","Thanisandra, Bangalore, Karnataka",3,3,"1,680.00 sq ft",Apartment
327,"USD $203,667","Thanisandra, Bangalore, Karnataka",2,2,"1,280.00 sq ft",Apartment
328,"USD $233,538","Thanisandra, Bangalore, Karnataka",3,3,"1,674.00 sq ft",Apartment
